最速下降法：
第1次迭代, f(x_1) = 0.7711096853451352, x1 = 0.1612617799292677, x2 = 0.0000000000000000
第2次迭代, f(x_2) = 0.7034817340722557, x1 = 0.1612618203098468, x2 = 0.0260052229041812
第3次迭代, f(x_3) = 0.6567984324950162, x1 = 0.2113417242452729, x2 = 0.0260061291996156
第4次迭代, f(x_4) = 0.6219824283196655, x1 = 0.2113413740283882, x2 = 0.0446652248435339
第5次迭代, f(x_5) = 0.5936177078877067, x1 = 0.2450836204564452, x2 = 0.0446650174797668
第6次迭代, f(x_6) = 0.5698985649783218, x1 = 0.2450837364472873, x2 = 0.0600658988381767
第7次迭代, f(x_7) = 0.5493285429322164, x1 = 0.2711244759386219, x2 = 0.0600663784343171
第8次迭代, f(x_8) = 0.5312598372067933, x1 = 0.2711242649123521, x2 = 0.0735080980572109
第9次迭代, f(x_9) = 0.5150699414155886, x1 = 0.2925736552506991, x2 = 0.0735088895905903
第10次迭代, f(x_10) = 0.5004526462772377, x1 = 0.2925732219988807, x2 = 0.0855984254546172
第11次迭代, f(x_11) = 0.4870881517620017, x1 = 0.3109377461564017, x2 = 0.0856001512826600
第12次迭代, f(x_12) = 0.4748082819754451, x1 = 0.3109366633513369, x2 = 0.0966808208582946
第13次迭代, f(x_13) = 0.4634275563973385, x1 = 0.3270655531435344, x2 = 0.0966826648922045
第14次迭代, f(x_14) = 0.4528423154798770, x1 = 0.3270644046840492, x2 = 0.1069705194692498
第15次迭代, f(x_15) = 0.4429353277432372, x1 = 0.3414893274645984, x2 = 0.1069718171456825
第16次迭代, f(x_16) = 0.4336375628634822, x1 = 0.3414883730524595, x2 = 0.1166136893693367
第17次迭代, f(x_17) = 0.4248699226127671, x1 = 0.3545670565043472, x2 = 0.1166149199563737
第18次迭代, f(x_18) = 0.4165847579286900, x1 = 0.3545662250149789, x2 = 0.1257165973867905
第19次迭代, f(x_19) = 0.4087258868763668, x1 = 0.3665506894813590, x2 = 0.1257177311081936
第20次迭代, f(x_20) = 0.4012589564213819, x1 = 0.3665499574670041, x2 = 0.1343582685950313
第21次迭代, f(x_21) = 0.3941425731342739, x1 = 0.3776255035742433, x2 = 0.1343593225003157
第22次迭代, f(x_22) = 0.3873510170724453, x1 = 0.3776246975902678, x2 = 0.1425999343207333
第23次迭代, f(x_23) = 0.3808532525897415, x1 = 0.3879307832470562, x2 = 0.1426007257501063
第24次迭代, f(x_24) = 0.3746293620163861, x1 = 0.3879302637920185, x2 = 0.1504893006841285
第25次迭代, f(x_25) = 0.3686549306332093, x1 = 0.3975767659529684, x2 = 0.1504902288580806
第26次迭代, f(x_26) = 0.3629145847453713, x1 = 0.3975760755704353, x2 = 0.1580662858266222
第27次迭代, f(x_27) = 0.3573892209554436, x1 = 0.4066488368214621, x2 = 0.1580669636453667
第28次迭代, f(x_28) = 0.3520662704567966, x1 = 0.4066482742661411, x2 = 0.1653623145039023
第29次迭代, f(x_29) = 0.3469302940700739, x1 = 0.4152175596135405, x2 = 0.1653630431034998
第30次迭代, f(x_30) = 0.3419711811962466, x1 = 0.4152169794049317, x2 = 0.1724046932807241
第31次迭代, f(x_31) = 0.3371763295098399, x1 = 0.4233401808194262, x2 = 0.1724053138371127
第32次迭代, f(x_32) = 0.3325372913324054, x1 = 0.4233395354976757, x2 = 0.1792160106196527
第33次迭代, f(x_33) = 0.3280437633671116, x1 = 0.4310639568972713, x2 = 0.1792164817437401
第34次迭代, f(x_34) = 0.3236886589726694, x1 = 0.4310635721191730, x2 = 0.1858156336801849
第35次迭代, f(x_35) = 0.3194632823850690, x1 = 0.4384294352901332, x2 = 0.1858158531689977
第36次迭代, f(x_36) = 0.3153616693154568, x1 = 0.4384292837914764, x2 = 0.1922198832940620
第37次迭代, f(x_37) = 0.3113763354105395, x1 = 0.4454713239450398, x2 = 0.1922203267191521
第38次迭代, f(x_38) = 0.3075023556097234, x1 = 0.4454710507065794, x2 = 0.1984442277047608
第39次迭代, f(x_39) = 0.3037333753824719, x1 = 0.4522183220039763, x2 = 0.1984445067331340
第40次迭代, f(x_40) = 0.3000650616207117, x1 = 0.4522180528567779, x2 = 0.2045009507231378
第41次迭代, f(x_41) = 0.2964919804467393, x1 = 0.4586958422914522, x2 = 0.2045012068800054
第42次迭代, f(x_42) = 0.2930103892241783, x1 = 0.4586956593409584, x2 = 0.2104014275688577
第43次迭代, f(x_43) = 0.2896155379574715, x1 = 0.4649262359799152, x2 = 0.2104017502517798
第44次迭代, f(x_44) = 0.2863041921300570, x1 = 0.4649259937863099, x2 = 0.2161559678258911
第45次迭代, f(x_45) = 0.2830722227388516, x1 = 0.4709286767948792, x2 = 0.2161562055218079
第46次迭代, f(x_46) = 0.2799167581044431, x1 = 0.4709283998344895, x2 = 0.2217733919597713
第47次迭代, f(x_47) = 0.2768341953083531, x1 = 0.4767200925017257, x2 = 0.2217735734766265
第48次迭代, f(x_48) = 0.2738219994739438, x1 = 0.4767199607614859, x2 = 0.2272616297352681
第49次迭代, f(x_49) = 0.2708769594384419, x1 = 0.4823163194728163, x2 = 0.2272619412403065
第50次迭代, f(x_50) = 0.2679968425345172, x1 = 0.4823158853835947, x2 = 0.2326283244042629
第51次迭代, f(x_51) = 0.2651788259380941, x1 = 0.4877299999344393, x2 = 0.2326286265504606
第52次迭代, f(x_52) = 0.2624209053888359, x1 = 0.4877296559666008, x2 = 0.2378798603944025
第53次迭代, f(x_53) = 0.2597205524101162, x1 = 0.4929737753713145, x2 = 0.2378802257935655
第54次迭代, f(x_54) = 0.2570759824012012, x1 = 0.4929733908439672, x2 = 0.2430224651345063
第55次迭代, f(x_55) = 0.2544849299269814, x1 = 0.4980583042871307, x2 = 0.2430227649612443
第56次迭代, f(x_56) = 0.2519457900579851, x1 = 0.4980579813900452, x2 = 0.2480614100602431
第57次迭代, f(x_57) = 0.2494565264476354, x1 = 0.5029935655936076, x2 = 0.2480617471242644
